Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,2,0,0,1,0,1,0,0,1,0,0,-2.088826
0,2,0,0,2,0,0,0,0,0,0,1,-2.733156
0,2,0,0,0,0,2,0,0,1,0,0,-2.025796
0,2,0,0,0,1,1,0,1,0,0,0,-2.333406
1,1,0,0,0,2,0,0,1,0,0,0,-1.785836
1,1,0,0,0,2,0,0,0,1,0,0,-1.832916
1,1,0,0,0,0,2,0,0,1,0,0,-1.382856
1,1,0,0,0,1,1,0,0,1,0,0,-1.836566
0,1,1,0,0,1,0,1,0,0,0,1,-1.887546
0,1,1,0,1,0,0,1,0,0,0,1,-1.412246
0,1,1,0,0,2,0,0,0,0,0,1,-1.882446
0,1,1,0,2,0,0,0,0,0,0,1,-1.484516
0,1,0,1,0,0,0,2,0,1,0,0,-2.611246
0,1,0,1,0,0,1,1,0,0,1,0,-2.421996
0,1,0,1,0,0,1,1,1,0,0,0,-2.352096
0,1,0,1,1,0,0,1,0,1,0,0,-2.512626
2,0,0,0,0,0,1,1,0,1,0,0,-0.870066
2,0,0,0,0,2,0,0,0,0,1,0,-0.955226
2,0,0,0,0,2,0,0,0,0,0,1,-0.905156
2,0,0,0,2,0,0,0,0,0,0,1,-0.951866
1,0,1,0,1,0,0,1,0,1,0,0,-0.950446
1,0,1,0,1,0,0,1,0,0,0,1,-1.016266
1,0,1,0,0,2,0,0,0,1,0,0,-0.955246
1,0,1,0,0,2,0,0,0,0,1,0,-1.460376
1,0,0,1,1,0,1,0,0,0,1,0,-1.100326
1,0,0,1,1,1,0,0,0,0,0,1,-0.839336
1,0,0,1,1,0,1,0,0,0,0,1,-0.922196
1,0,0,1,0,0,2,0,1,0,0,0,-1.069956
0,0,2,0,2,0,0,0,0,0,0,1,-2.029726
0,0,2,0,1,0,1,0,0,0,1,0,-2.294086
0,0,2,0,0,0,2,0,0,1,0,0,-2.103366
0,0,2,0,1,1,0,0,1,0,0,0,-2.397276
0,0,1,1,1,0,1,0,0,0,1,0,-1.903056
0,0,1,1,2,0,0,0,0,0,1,0,-1.803546
0,0,1,1,0,1,0,1,0,0,0,1,-1.376146
0,0,1,1,1,0,0,1,0,1,0,0,-1.387526
0,0,0,2,0,0,2,0,1,0,0,0,-0.627916
0,0,0,2,0,0,2,0,0,1,0,0,-0.635636
0,0,0,2,0,1,1,0,0,1,0,0,-0.500916
0,0,0,2,1,0,1,0,0,1,0,0,-0.619456